img_path,table_mask,col_mask,original_height,original_width,hasTable,table_count,col_count,table_bboxes,col_bboxes
marmot_processed\image_v2\10.1.1.1.2092_101.jpg,marmot_processed\table_mask\10.1.1.1.2092_101_table_mask.png,marmot_processed\col_mask\10.1.1.1.2092_101_col_mask.png,864,576,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2092_12.jpg,marmot_processed\table_mask\10.1.1.1.2092_12_table_mask.png,marmot_processed\col_mask\10.1.1.1.2092_12_col_mask.png,864,576,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2092_22.jpg,marmot_processed\table_mask\10.1.1.1.2092_22_table_mask.png,marmot_processed\col_mask\10.1.1.1.2092_22_col_mask.png,864,576,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2092_27.jpg,marmot_processed\table_mask\10.1.1.1.2092_27_table_mask.png,marmot_processed\col_mask\10.1.1.1.2092_27_col_mask.png,864,576,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2092_79.jpg,marmot_processed\table_mask\10.1.1.1.2092_79_table_mask.png,marmot_processed\col_mask\10.1.1.1.2092_79_col_mask.png,864,576,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2100_4.jpg,marmot_processed\table_mask\10.1.1.1.2100_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2100_4_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2100_6.jpg,marmot_processed\table_mask\10.1.1.1.2100_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2100_6_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2101_2.jpg,marmot_processed\table_mask\10.1.1.1.2101_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2101_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2102_2.jpg,marmot_processed\table_mask\10.1.1.1.2102_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2102_2_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2105_5.jpg,marmot_processed\table_mask\10.1.1.1.2105_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2105_5_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2108_2.jpg,marmot_processed\table_mask\10.1.1.1.2108_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2108_2_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2110_3.jpg,marmot_processed\table_mask\10.1.1.1.2110_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2110_3_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2110_4.jpg,marmot_processed\table_mask\10.1.1.1.2110_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2110_4_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2111_4.jpg,marmot_processed\table_mask\10.1.1.1.2111_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2111_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2111_5.jpg,marmot_processed\table_mask\10.1.1.1.2111_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2111_5_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2113_3.jpg,marmot_processed\table_mask\10.1.1.1.2113_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2113_3_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2113_4.jpg,marmot_processed\table_mask\10.1.1.1.2113_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2113_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2113_5.jpg,marmot_processed\table_mask\10.1.1.1.2113_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2113_5_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2116_7.jpg,marmot_processed\table_mask\10.1.1.1.2116_7_table_mask.png,marmot_processed\col_mask\10.1.1.1.2116_7_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2116_8.jpg,marmot_processed\table_mask\10.1.1.1.2116_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2116_8_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2117_3.jpg,marmot_processed\table_mask\10.1.1.1.2117_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2117_3_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2117_5.jpg,marmot_processed\table_mask\10.1.1.1.2117_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2117_5_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2117_6.jpg,marmot_processed\table_mask\10.1.1.1.2117_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2117_6_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2123_5.jpg,marmot_processed\table_mask\10.1.1.1.2123_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2123_5_col_mask.png,1123,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2124_4.jpg,marmot_processed\table_mask\10.1.1.1.2124_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2124_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2124_6.jpg,marmot_processed\table_mask\10.1.1.1.2124_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2124_6_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2126_4.jpg,marmot_processed\table_mask\10.1.1.1.2126_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2126_4_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2126_7.jpg,marmot_processed\table_mask\10.1.1.1.2126_7_table_mask.png,marmot_processed\col_mask\10.1.1.1.2126_7_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2126_8.jpg,marmot_processed\table_mask\10.1.1.1.2126_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2126_8_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2128_3.jpg,marmot_processed\table_mask\10.1.1.1.2128_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2128_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2130_4.jpg,marmot_processed\table_mask\10.1.1.1.2130_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2130_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2131_10.jpg,marmot_processed\table_mask\10.1.1.1.2131_10_table_mask.png,marmot_processed\col_mask\10.1.1.1.2131_10_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2131_11.jpg,marmot_processed\table_mask\10.1.1.1.2131_11_table_mask.png,marmot_processed\col_mask\10.1.1.1.2131_11_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2133_2.jpg,marmot_processed\table_mask\10.1.1.1.2133_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2133_2_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2133_4.jpg,marmot_processed\table_mask\10.1.1.1.2133_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2133_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2133_5.jpg,marmot_processed\table_mask\10.1.1.1.2133_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2133_5_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2134_35.jpg,marmot_processed\table_mask\10.1.1.1.2134_35_table_mask.png,marmot_processed\col_mask\10.1.1.1.2134_35_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2134_40.jpg,marmot_processed\table_mask\10.1.1.1.2134_40_table_mask.png,marmot_processed\col_mask\10.1.1.1.2134_40_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2134_45.jpg,marmot_processed\table_mask\10.1.1.1.2134_45_table_mask.png,marmot_processed\col_mask\10.1.1.1.2134_45_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2134_59.jpg,marmot_processed\table_mask\10.1.1.1.2134_59_table_mask.png,marmot_processed\col_mask\10.1.1.1.2134_59_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2134_60.jpg,marmot_processed\table_mask\10.1.1.1.2134_60_table_mask.png,marmot_processed\col_mask\10.1.1.1.2134_60_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2137_10.jpg,marmot_processed\table_mask\10.1.1.1.2137_10_table_mask.png,marmot_processed\col_mask\10.1.1.1.2137_10_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2139_100.jpg,marmot_processed\table_mask\10.1.1.1.2139_100_table_mask.png,marmot_processed\col_mask\10.1.1.1.2139_100_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2139_102.jpg,marmot_processed\table_mask\10.1.1.1.2139_102_table_mask.png,marmot_processed\col_mask\10.1.1.1.2139_102_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2139_22.jpg,marmot_processed\table_mask\10.1.1.1.2139_22_table_mask.png,marmot_processed\col_mask\10.1.1.1.2139_22_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2139_25.jpg,marmot_processed\table_mask\10.1.1.1.2139_25_table_mask.png,marmot_processed\col_mask\10.1.1.1.2139_25_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2142_2.jpg,marmot_processed\table_mask\10.1.1.1.2142_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2142_2_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2144_2.jpg,marmot_processed\table_mask\10.1.1.1.2144_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2144_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2144_3.jpg,marmot_processed\table_mask\10.1.1.1.2144_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2144_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2146_3.jpg,marmot_processed\table_mask\10.1.1.1.2146_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2146_3_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2147_6.jpg,marmot_processed\table_mask\10.1.1.1.2147_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2147_6_col_mask.png,1032,756,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2147_9.jpg,marmot_processed\table_mask\10.1.1.1.2147_9_table_mask.png,marmot_processed\col_mask\10.1.1.1.2147_9_col_mask.png,1032,756,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2150_3.jpg,marmot_processed\table_mask\10.1.1.1.2150_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2150_3_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2151_10.jpg,marmot_processed\table_mask\10.1.1.1.2151_10_table_mask.png,marmot_processed\col_mask\10.1.1.1.2151_10_col_mask.png,1056,800,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2151_11.jpg,marmot_processed\table_mask\10.1.1.1.2151_11_table_mask.png,marmot_processed\col_mask\10.1.1.1.2151_11_col_mask.png,1056,800,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2151_3.jpg,marmot_processed\table_mask\10.1.1.1.2151_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2151_3_col_mask.png,1056,800,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2151_9.jpg,marmot_processed\table_mask\10.1.1.1.2151_9_table_mask.png,marmot_processed\col_mask\10.1.1.1.2151_9_col_mask.png,1056,800,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.10.3210_9.jpg,marmot_processed\table_mask\10.1.1.10.3210_9_table_mask.png,marmot_processed\col_mask\10.1.1.10.3210_9_col_mask.png,1123,793,0,0,0,[],[]
